Code,Country,Region,Subregion,Producer,Color,Wine,Alcohol_by_volume,Acidity,Residual_Sugar,Dosage,Years_in_Blend,Bottling_Date,Disgorgement_Date,Closure,Annual_cases_produced,Varieties,Maceration_Notes,Pumpover_Punchdown,Destemming ,Fermentation_vessel,Fermentation_duration,Aging_method,Aging_duration_months,Filtered,Fining_Agents,Yeast,Lees_Contact_Stirring,Malolactic,Added_Sulfur,Vineyard_Name,Soil_Type,Elevation_meters,Vineyard_Aspect,Vine_Age_years,Vine_Yields_hl_ha,Farming_practices,Vine_Training_Notes,Grape_Picking,Notes
GOR-SBG16,Germany,Baden - Ortenau,,Schloss Ortenberg,White,"2016 ein Sauvignon Blanc ""Granit"" ",12.5,7.1,6.8,,,,,Screw-Top,900,100% Sauvignon Blanc,Skin contact for 12 hours,,Complete,Stainless Steel 100%,24 days,Stainless Steel 100%,,Yes,Gelatine,complete,4 months,No,"Yes, 40ppm",,Granite / Loess,300,Southwest,15,55,Sustainable,Guyot training,Hand-harvested,"Sauvignon blanc is grown in the Ortenau since the year 1830. Formerly known as ""White Bordeaux"" it was planted only in the best vineyard sites. As the vines are not very resistend to heavy frost it never became a very popular grape variety. With climate change we have started to increase the plantings of Sauvignon blanc and today it is one of our Top 5 varieties with outstanding results."
FCM-STE06,France,Bordeaux,,Ch. Coutelin-Merville,Red,2006 St. Estephe (Cru Bourgeois),13.4,3.3,<2,,,,,Natural Cork,"8,000","Merlot: 50 %, Cab Sauv.: 25 %, Cab Franc: 25 %",,,,Concrete,3 weeks,"New Barrique 30%, Used Barrique 70%",12,Yes,Egg White (albumen),Cultured,,Yes,"Yes, 95 mg/l",,Calcareous,23,South,30,50,Conventional,,Hand-harvested,
FCR-SEQ16,France,Bordeaux,,Ch. Carbonneau,Red,2016 Sequoia (Bordeaux - Ste. Foy),14.5,3.3,0.7,,,,,DIAM,2500,"54%merlot, 32%cabernet sauvignon, 14%cabernet franc",,,,Stainless Steel,2 weeks,Used Barrique 100%,11,Yes,None,Cultured,,Yes,Yes,,Calcareous,75,South,20,50,Sustainable,,Machine,Sequoia is the name of the big tree in front of the chateau. Barrel aging gives this wine complexity and good cellar potential.
FCR-CCL16,France,Bordeaux,,Ch. Carbonneau,Red,2016 Cuvee Classique (Bordeaux - Ste. Foy),14.5,3.61,1.2,,,,,DIAM,1200,"75%merlot, 15%cabernet franc, 10%malbec",,,,,,Stainless Steel 100%,12,Yes,None,Cultured,,Yes,Yes,,Calcareous,75,South,20,50,Sustainable,,Machine,Fruity easy drinking
FCP-VIO17,France,Rhone,,Christophe Pichon,White,2017 Viognier (collines Rhodaniennes),14.09,2.52,0.8,,,,,Natural Cork,670,Viognier 100%,,,,Stainless Steel,1,Used Barrique 100%,9,Yes,Bentonite,Spontaneous,Yes,Yes,"Yes, 25/100",,Granite,150 and 350,South,Oct-40,45,Conventional,,Hand-Harvested,
FCP-CON16,France,Rhone,,Christophe Pichon,White,2016 Condieu,14.06,2.526,2.5,,,,,Natural Cork,1600,Viognier 100%,,,Complete,Barrels,1,"New Barrique 10%, Used Barrique 60%, Stainless Steel 30%",12,Yes,Bentonite,Spontaneous,Yes,Yes,Yes 23/96,,Granite,200,South,40,37,Conventional,,Hand-Harvested,
FCP-CRP13,France,Rhone,,Christophe Pichon,Red,2013 Cote Rotie 'Promesse',12.68,3.47,<2,,,,,,550,"Syrah 95%, Viognier 5%",,Both,Whole Cluster,Stainless Steel,1,"New Barrique 50%, Used Barrique 50%",14,Yes,None,Spontaneous,,Yes,Yes 22/68,,,250,Southeast,15-50,40,Conventional,,Hand-Harvested,
FCP-SJR16,France,Rhone,,Christophe Pichon,Red,2016 St. Joseph Rouge,13.21,3.33,<2,,,,,Natural Cork,2600,Syrah 100%,,Both,Whole Cluster,Stainless Steel,1,Used Barrique 100%,12,Yes,None,Spontaneous,None,Yes,Yes 23/39,,Granite,150,Southeast,15-45,40,Conventional,,Hand-Harvested,
FCH-CFT16,France,Loire,,Chon,Red,2016 Cabernet Franc 'Le Tristan',12.35,3.1,1.2,,,,,Synthetic Cork,750,100% Cabernet Franc,,,Complete,,15 days,,,,,,,Yes,"Yes, 25ppm",Le Tristan,Alluvial,10,West,39,55,Conventional,Taille Guyot Simple non Palissee,Machine,"Cabernet Franc has a beautiful ruby color. It is elegant , soft and lasts in the mouth with some aromas of cherry,  raspberry, and cassis
Cabernet France is a wine to be served with some meat, cheese or with some desserts made of chocolate.   "
FCH-CHA17,France,Loire,,Chon,White,2017 Domaine de la Jousseliniere Chardonnay (IGP),12.5,3.2,1.5,,,,,Screw-top,5000,100% Chardonnay,,,Complete,,15-20 days,Stainless Steel,,Yes,Bentonite,Cultured,,No,"Yes, 30ppm",Domaine de la Jousseliniere,"Alluvial, Volcanic",20,East,12,75,Conventional,Taille Guyot Simple non Palissee,Machine,"Its golden color and aromas of grilled almond, fresh butter and hazelnut are very appreciable. In the mouth, very smooth and spacious, first aromas are peach and exotic fruits. It finally finishes in the mouth on fresh notes of brioche with a zest of ginger."
FCH-MCH16,France,Loire,,Chon,White,"2016 'Clos de la Chapelle' Muscadet-sur-lie, Vieilles Vignes",12,3.85,1.5,,,,,Screw-top,2000,100% Melon de Bourgogne,,,Complete,,15 days,Stainless Steel,6,Yes,Bentonite,Cultured,,No,"Yes, 30ppm","Chateau de la Jousseliniere, Clos de la Chapelle",Alluvial,10,Northeast,70,50,Conventional,Taille Guyot Simple non Palissee,Machine,"This Muscadet with its greenish glint is full of joy and exotic fruits aromas such as grapefruit and lime. It has in addition some complex almond and linden flavors.
Fruity, fresh and harmonious, the Clos de la Chapelle is particularly appreciated with seafoods and fishes."
FFN-CCA15,France,Languedoc,,Fontanel,Red,2015 Cotes Catalanes Rouge,14,medium,<2,,,,,DIAM,800,Grenache 40 % Carignan 40%  Mourvèdre 20 %,,,,Stainless Steel,3 weeks,Stainless Steel 100%,6-Apr,Yes,None,Cultured,lees contact,Yes,"Yes, <100mg",Pezilla,"Calcareous, Alluvial",50,,25,40,Sustainable,,Hand-Harvested,"Red fruit flavors and spicy notes. This wine is generous, and naturally tasty, from sustainable agriculture."
FFN-MDR10,France,Languedoc,,Fontanel,Dessert,2010 'l'Age de Pierre' Muscat de Rivesaltes,15,medium,85,,,,,DIAM,600,100 % Muscat petit grain,,,Whole Cluster,Stainless Steel,7 days,Stainless Steel 100%,6,Yes,Bentonite,Cultured,,No,"Yes, <150",Rieussols,Sedimentary,100,Northeast,40,25,Sustainable,,Hand-Harvested,"Expressive aromas of pear, citrus and white flowers. One of the most delicate muscat "
FFN-RAM07,France,Languedoc,,Fontanel,Dessert,2007 Rivesaltes Ambré,16,low,100,,,,,DIAM,300,50% Grenaches Blancs / 50% Grenaches gris ,,,Whole Cluster,Stainless Steel,7 days,Used Barrique 100%,120,Yes,None,,"Yes, during 10 years",No,No,Coma Ustrulls,"Alluvial, Granite, Sedimentary",150,Southwest,110,20,Sustainable,,Hand-Harvested,A treasure from our 1908 vineyard
FGP-BLT17,France,Rhone,,Mas Grand Plagniol,White, 2017 Blanc 'Tradition' (Costieres de Nimes),13.5,3.5,1,,,,,DIAM,3000,"Roussanne 50%, Grenache Blanc 30%, Marsanne 10%, Viognier 10%","18 degreesC, Stainless Steel tanks",,Complete,Concrete,4 weeks,Concrete 100%,6,Yes,Bentonite,"Spontaneous, Cultured",2 months,No,Yes,Mas Du Grand Plagniol,Gravel,70,South,25,35,Organic,,Machine,Intense nose of peach flower and quartz. Great complexity on the palate developed by good acidity and notes of apricot and citrus.
FGP-RGT16,France,Rhone,,Mas Grand Plagniol,Red,2016 Costières de Nîmes Rouge 'Tradition',14.5,3,1.5,,,,,,5000,"Grenache 60%, syrah 35%, cinsault 5%","18 degreesC, Stainless Steel tanks",,Complete,Stainless Steel,4 weeks,Concrete 100% ,12,Yes,None,"Native, Cultured",,Yes,Yes,Mas Du Grand Plagniol,Gravel,,,25,35,Certified Organic,,Machine,"Bright dark red color. Fresh ripe fruit on the nose of black currant. Marked by garrigue herbs which develop with aging. Powerful and pure on the palate, yet elegant. A fruity palate that has good length."
FGP-ROS17,France,Rhone,,Mas Grand Plagniol,Red,2017 Costières de Nîmes Rosé,13.5,3.5,1,,,,,DIAM,4000,"GRENACHE 50%, SYRAH 30%, CINSAULT 20%",,,Complete,Concrete,,Concrete 100%,3,Yes,Bentonite,,,No,Yes,,,70,South,40,50,Organic,,Machine,Brilliant color. This rosé is concentrated with notes of strawberries and raspberries with pepper. Good acidity with lots of roundness.
FGI-BSRSNV,France,Loire,,Gigou,Sparkling,"N.V. ""La Bulle Sarthoise"" Rouge Demi-Sec",11.5,,20?,,,,,Natural Cork,600,Pineau D'Aunis 100%,,,Complete,Stainless Steel,10-15 days,Stainless Steel 100%,4-Mar,Yes,,Native,,No,Yes,,Calcareous,50,South,20-30,40,Certified Organic,,Machine,"Aroma of black fruit, spicy and peppery."
FGI-BSRSNV,France,Loire,,Gigou,Sparkling,"N.V. ""La Bulle Sarthoise"" Rose",11.5,,5,,,,,Natural Cork,400,Pineau D'Aunis 100%,,,Complete,Stainless Steel,,Stainless Steel 100%,4-Mar,Yes,,,,No,Yes,,Calcareous,50,South,20-30,40,Certified Organic,,Machine,
FGI-CSJ00,France,Loire,,Gigou,White,2000 Jasnierès Clos St. Jacques,12,5.8,2,,,,,Natural Cork,600,Chenin Blanc 100%,,,Whole Cluster,Barrels,6-May,Used Barrique ,6-May,Yes,,Native,matured on lees,No,Yes,,Calcareous,110,South,50-60,30-35,Organic,,Hand-Harvested,Dry and mineral with great finesse and elegance.
FGI-GIG12,France,Loire,,Gigou,Red,"2012 ""Gigou't"" (Gamay)",12.5,,1,,,,,Natural Cork,250,Gamay 100%,,,Complete,Stainless Steel,,Used Barrique,36,No,,Native,,Yes,Yes,,Calcareous,50,South,40,25-30,Organic,,Machine,Great potential for aging. Aged for 36 months in Oak.
FGI-JDT14,France,Loire,,Gigou,White,2014 Jasnierès 'Jus de Terre',12.5,6,5,,,,,Natural Cork,800,Chenin Blanc 100%,,,Partial,Barrels,4-Mar,,,Yes,,Native,,No,Yes,,Calcareous,110,South,30-Oct,35,Certified Organic,,Hand-Harvested,"Dry, with good minerality and fresh."
FBE-MBE16,France,Languedoc,,Belot,,2016 Mas Belot Coteaux du Languedoc,13.67,3.24,0.2,,,,,Natural Cork,475,"60% Grenache, 40% Syrah",Cold maceration for 72 hours at 8°C,Rack and return and pump over with aeration during the first four days of fermentation,Complete,Stainless Steel,"12 days for grenache, 9 days for syrah at temperature control between 20-22°C",Stainless Steel 100%,12,Yes,None,Cultured,None,Yes,"Yes, 75 total / 38 libre",Vignoble Belot,"Calcareous, Granite",125,South,"11 years Grenache, 13 years syrah",45,Conventional,,Hand-harvested,"This blend of Grenache and Syrah has a bouquet of red fruit and spice. 
On the palate, it is silky and mouth-filling, with ripe cherry notes and good length. 
Can be enjoyed young with grilled meats, or aged for a couple of years and then paired with cheese or game."
FBE-MOU15,France,Languedoc,,Belot,,"2015 Ch. Belot 2015 ""Les Mouleyres"" (St. Chinian) ",14.81,3.04,0,,,,,Natural Cork,1250,"60% Syrah 30% Grenache, 10% Mourvèdre",Harvest in green is performed in Spring for a better bunch selection.Parcel selection is applied during the harvest and wine making is traditionnal.Pumping over the cap is performes twice daily to get the best extraction possible.,Pumping over the cap is performed twice daily to get the best possible extraction,Complete,Stainless Steel,25 days for Grenache and 36 days for Mourvèdre and Syrah at temperature controled between 22 to 24 °C,"New Barrique 50%, Used Barrique 40%, Stainless Steel 10%",10,No,None,Cultured,1 month on Syrah only,Yes,"Yes, 69 total / 31 libre",Vignoble Belot,"Calcareous, Granite, Gravel",225,West,30 years for Mourvèdre / 27 years for Grenache and 16 for Syrah,40,Conventional,,Hand-harvested,"Good deep colour. Subtle bouquet with a soft vanilla touch.
A very delicate mix of the Languedoc varietals, a full body, with a touch of licorice framed by well softened tannins.
Serve at 18°C . This wine is subtle  yet powerful, and it will match meat dishes or a nice cheese board."
FMU-CHR16,France,Rhone,,Mucyn,,"2016 Crozes Hermitage Rouge "" Les Entrecoeurs"" ",13.29,2.9,<2,,,,,Natural Cork,2800,100% Syrah,"The harvested grapes are destemmed but not crushed, and undergo a phase of cold pre-fermentation maceration. Alcoholic fermentation then kicks off and lasts for three weeks. with soft tannins","Maceration is assisted with daily cap-punching operations. Jean-Pierre Mucyn prefers a moderate extraction resulting in lush, fruity wines ",Complete,Stainless Steel,22 days,100% Stainless Steel,12 months,Yes,None,Native,We keep some fine lees during maturation,Yes,Yes,,Alluvial,140,South,40,45,Sustainable,,Hand-harvested,"The wines crimson-flecked amaranth hue complements an intense nose of red and black fruits (Morello cherries, blackcurrants) and mocha, with spicy and liquorice notes."
FMU-SJB15,France,Rhone,,Mucyn,,"2015 St. Joseph Blanc ""Les Carats"" ",12.97,3.5,<2,,,,,Synthetic Cork,4000,100% Roussanne,"Gently pressing, racking of the must",,Whole Cluster,Stainless Steel,1 month,"Used Barrique 20%, Stainless Steel 80%",9 months,Yes,Bentonite,Native,Regular stirring of the lees,No,Yes,,Granite,310,South,10,40,Sustainable,"vines with high trellising, operations of de-budding, thinning out the leaves, green harvest to obtain the best maturity and rationalised phytosanitory protection. Regularly ploughing",Hand-harvested,"As white « Saint-Joseph » are prized and rare, this wine deserved a special name. The word carat is taken from both the analysis of metals and gemstones and from the vernacular of Rhône boatmen. In the latter case it refers to the profits from transport that goes to the partners"
FMU-SJR16,France,Rhone,,Mucyn,,"2016 St. Joseph Rouge ""Les Salamandres""",13.24,3.76,<2,,,,,Natural Cork,900,100% Roussanne,"Total de-stemming 100%, No crushing Short cold maceration was applied before fermentation",25 days of maceration with punching of the cap,Complete,Stainless Steel,25 days,"Used Barrique 40%, Stainless steel 60%",12 months,Yes,None,Native,We keep some fine lees during maturation,Yes,Yes,,,290,South,30,40,Sustainable,"Sustainable growing methods vines with individual pole, operations of de-budding, thinning out the leaves, green harvest to obtain the best maturity and rationalised phytosanitory protection. Regularly ploughing",Hand-harvested,"Its dense ruby hue flecked with crimson and purple tints is delightful. Then comes the lush, candied, spicy and fruity nose with notes of blackberries, cassis, Morello cherries and cocoa. On the palate, the wine is meaty and balanced with structuring tannins of ripe grapes. This Saint-Joseph Les Salamandres will be at its best after 4-5 years cellar ageing. Ideally served at 16°C. Try it paired with game (roast venison, wild boar stew) or roast turkey. You can also enjoy it with fine charcuterie (Bayonne ham, Bellota or San Daniele)."
FMUVDP16,France,Rhone,,Mucyn,,"2016 'GamSy', Vin de Pays des Collines Rhodaniennes",12.45,3.67,<2,,,,,Synthetic Cork,410,"60% Syrah, 40% Gamay","Total de-stemming 100%, No crushing Short cold maceration was applied before fermentation",11 days of maceration with pumping over,Complete,Stainless Steel,11 days,Stainless Steel 100%,9 months,Yes,None,Native,No,Yes,Yes,,Granite,290,Southeast,25 years,50,Sustainable,"Sustainable growing methods vines with individual pole, operations of de-budding, thinning out the leaves, green harvest to obtain the best maturity and rationalised phytosanitory protection. Regularly ploughing.",Hand-harvested,"Easy-to-drink and refreshing, Gamsy proudly displays its dense, crimson-flecked hue. Its intense nose offers up notes of tangy red fruit such as blackcurrants and redcurrants. It shows nice length on the palate with soft tannins and a lovely spicy finish. Best served between 14-16°C and enjoyed when young with a platter of charcuterie or light cheeses. It is also great for a barbecue."
FCO-SBL17,France,Rhone,,Courançonne,,Courançonne 2017 Seguret Blanc,13.16,2.65,0.76,,,,,Synthetic Cork,500,"Grenache 60%, Viognier 30%, Clairette 10%",,,Complete,Concrete,3 weeks,"Concrete 80%, New Barrique 20%",4,Yes,PVPP (Polyvinylpolypyrrolidone),Native,STIRRING OF THE LEES ALONG WITH A VERY MODERATE RELEASE OF NITROGENIN THE TANKS,No,Yes,Seguret,Calcareous,150,Northwest,25,41,Conventional,,Machine,
FMF-TRS15,France,Jura,,Martin Faudot,,Dom. Martin Faudot 2015 Trousseau (Arbois),13.2,3.2,0.5,,,,,Natural Cork,500,Trousseau 100%,10-12 days,Pumpover and punchdown acoording to tasting analysis (no more than twice a day).,Complete,Stainless Steel,12-Oct,Cask 100%,14-16,Yes,None,Native,,Yes,"Yes, 52ppm",,"Gravel, Calcareous",300-400,Northwest,35,35,Sustainable,Guyot (double),Hand-harvested,
FPB-CHB16,France,Loire,,Bellier,,2016 Cheverny Blanc,12.5,4,1,,,,,Synthetic Cork,"20,000","Sauvignon Blanc 80%, Chardonnay 20%",,,Complete,Stainless Steel,15 days,Stainless Steel 100%,6,Yes,Bentonite,Cultured,6,No,"Yes, 120ppm",,"Alluvial, Calcareous",100,Northwest,20,60,Sustainable,Taille Guyot,Machine,"Vins aux arômes puissants de fruits exotiques, rafraîchissant avec une bouche soyeuse et équilibrée"
FPB-CRG16,France,Loire,,Bellier,,2016 Cheverny Rouge,12.5,2.9,0,,,,,Synthetic Cork,"10,000","Pinot Noir 80%, Gamay 20%",,,Complete,Stainless Steel 100%,15 days,Stainless Steel 100%,6,Yes,Gelatine,Cultured ,6 months,Yes,"Yes, 80ppm",,"Alluvial, Calcareous",,Northwest,20,60,Sustainable,Taille Guyot,Machine,"Fraicheur, finesse et gouleyant, arôme de fruits rouges, de cerises griottes et d'épices."
FPB-RERNV,France,Loire,,Bellier,,N.V. 'Reverie' Rosé Methode Traditionelle Sparkling,12,4.1,13,,,,,DIAM,300,Pinot Noir 100%,,,Complete,Stainless Steel,15 days,Stainless Steel 100%,6,Yes,Bentonite,Cultured,6 months,No,"Yes, 120ppm",,"Alluvial, Calcareous",100,Northwest,20,60,Sustainable,Taille Guyot,Machine,"vin aux arômes puissants de fruits exotiques, rafraîchissant avec une bouche soyeuse et équilibrée."
FPC-PAF17,France,Loire,,Colin,,"Colin 2017 ""Pierre a Feu"" Côteaux du Vendômois",12.07,4.5,1.4,,,,,DIAM,1200,100% Chenin Blanc,,,Complete,Stainless Steel,,Cask 100%,9,Yes,None,Native,,None,"Yes, 43ppm",,,80-150,Southwest,25-30,30,Certified Organic,Guyot Pruning,Machine,"soils are clay with silex (flint) 
Berries are sorted after mechanical harvest."
FPC-PASNV,France,Loire,,Colin,,"Colin N.V. ""Les Perles d'Anne Sophie"" (Vin de France)",12.9,5.59,0,,,,,Natural Cork,900,"60 %Chenin, 30 % Chardonnay, 10% Pineau d'Aunis",,,,Stainless Steel,,Cask 100%,12 on laths,No,,Native,,No,"Yes, 100ppm",,,80-150,,25-30,30,Certified Organic,Guyot Pruning,Machine,This wine comes from 2016 harvest. Several parcels with different aspects. Berries are sorted after mechanical harvest. Closure could be natural cork or Diam
FRA-TDS16,France,Loire,,Raimbault,,2016 Vouvray Demi-Sec 'Les Terrages',13.5,5.1,17.6,,,,,Synthetic Cork,450,100% Chenin Blanc,,,Complete,Stainless Steel,6 weeks,Stainless Steel 100%,6 months,Yes,Bentonite,Native,No,No,"Yes, 110mg/L",,Calcareous,100,Southwest,25,52,Conventional,,Machine,"Belle robe jaune dorée au nez miellé. Vin structuré, onctueux
aux arômes fruités de poire, vanille et fleurs d'acacia.
Médaille d'Argent au Concours des Ligers (2018)"
FRA-VBRNV,France,Loire,,Raimbault,,N.V. Vouvray Brut,12.6,5,9.8,,,,,mytik,3000,100% Chenin Blanc,,,Complete,Stainless Steel,6 weeks,Stainless Steel 100%,6 months,Yes,Bentonite,Native,No,No,"Yes, 122 mg/L",,Calcareous,100,Southwest,25,65,Conventional,,Machine,"Vin de grande finesse rond aux arômes de miel avec une belle expression du terroir Vouvrillon.
Médaille d'Or au concours des vins du Val de Loire (2018)"
