Producer,Date_Founded,Property_History,Owner_History,Owner_Name,Other_Important_People,Vineyard_Size_HA,Total_Annual_Production,City_of_Origin,Region,Subregion,Country
Domaine Martin Faudot,1879,"Located in the heart of the Jura mountain in the village of Arbois, Michel Faudot is a descendent of 135 years of family winemaking. While he doesn't adhere to organic standards he practices a very clean farming method on the 12 hectares vineyard. In figures, Domaine Martin Faudot is: 5 grapes (Pinot Noir, Trousseau, Poulsard, Chardonnay and Savagnin), 17 wines, and 7 categories (reds, whites, vin jaune, sparkling, sweet, fortified and eau-de-vie) and dozens of varietes of smoked charcuterie hanging in the cellar.",ichel is the 4th generation of winegrower. He always worked at the vineayrd but he actually studied mechanical and carpentry but his father asked him to take over. He learned for 6 years (4 years in Mesnay and 2 in Pligny) into small domaine before finaly toaking over the familly vineyard in 1984.,Michel Faudot ,Joris his son and Martin is business partner,12,60000 bottles,Arbois,Jura,Arbois,France
Pascal Bellier,,Domaine familiale situé sur les bords de Loire entre les châteaux de CHAMBORD et CHEVERNY idéalement placé sur les coteaux calcaires dominant le fleuve. Le clos entouré de haut mur est le site privilégié face au soleil couchant.,"La Famille BELLIER cultive la vigne depuis plusieurs générations en CHEVERNY et COUR-CHEVERNY, Véronique et Pascal sont les actuels propriétaires.",Véronique and Pascal Bellier ,,50,"30,000 cases",Cheverny,Loire,,France
Patrice Colin,1735,"his estate is operated from father to son for 8 generations.It was Emilien Colin in 1900 who develops the direct sale of wine and contributes to the development of the estate with 6 hectares of vineyards and 2 harnessed horses.Today the estate extends over 25 hectares of vines some of which are centenarians. The estate is located in the town of Thore la Rochette where Rochambeau is buried, who has been the commander of French troops during the American War of Independence and particularly at the Battle of Yorktown in 1781.",Patrice took over the estate in 1982 after specialized studies in the vineyard and wine. He enlarged the estate considerably and quickly oriented it towards organic farming. It is Patrice who is at the origin of the creation of the winegrowers union of the Vendômois and the creation of the appellation Côteaux du Vendômois,Patrice Colin,,25,150000 bottles,Thoré la Rochette,Loire,Côteaux du Vendômois,France
Vincent Raimbault,1904,"Deux familles sont à l'origine du Domaine de la Robinière : Les familles Raimbault et Boucher.
L'arrière grand-père paternel de Vincent Raimbault, acquiert, en 1904, la maison et la cave situées à la Robinière.
L'arrière grand-père maternel de Vincent Raimbault, possédait des vignes.
Son fils, Désiré Boucher, achète la maison et la cave de ""La Vallée du Vau"" en décembre 1928.","Vincent Raimbault s'installe en 1980. Il développe la vente au Domaine, tout d'abord aux caves de ""La Robinière"", puis dans les caves de ""La Vallée du Vau"". Il participe à des salons en France et en Belgique. Depuis 1989, il exporte ses vins, principalement en Grande-Bretagne, aux Etats-Unis; au Canada et en Belgique.
Son fils, Julien, a rejoint l'exploitation en septembre 2009.",Vincent Raimbault ,"Julien Raimbault, Winemaker",16,8500 cases,Chançay,Loire,Touraine-Vouvray,France
Boeckel,1853,"For 400 years the Boeckel family has had its roots firmly planted in the terroir of Mittelbergheim.  In 1853, Frédéric Boeckel, an established winemaker from the centre of the village founded the business which is today managed by the brothers Jean-Daniel and Thomas Boeckel, who are the fifth generation.",,Thomas and Jean-Daniel Boeckel,,"24 ha in property, grapes also purchased",300000 bottles,Mittelbergheim,Alsace,,France
Famille Vaillant,,,,,,,,Thouarcé,Loire,Anjou,France
Clos d'Audhuy,2014,"This is an old family vineyard. The vineyard is planted on a varied and beautiful terroir (limestone plateau, gravel, clay…). Benoit Aymard in 2014 revived the activity on a little part of the vineyard.","Berrit Aymard is Oeneoligist, he has worked for different companies in France, USA and Argentina. He specialized in Malbec and restored the family vineyard with the desire to produce quality in relation to the terroir","Berrit Aymard is Oeneoligist, he has worked for different companies in France, USA and Argentina. He specialized in Malbec and restored the family vineyard with the desire to produce quality in relation to the terroir",,14,25000 bottles/year,Cahors,,,France
Vray Canon Boyé,,"Château Vray Canon Boyer is owned by the Coninck family. This oriented vineyard at midday on the southern slope of the famous hillside of Canon, is planted with grapes of choice and, thanks to its magnificent exhibition, it produces red wines of a perfect maturity, which are distinguished by their softness, their body, finesse and bouquet; very strong, their indisputable quality brings them much closer to the best Burgundy, with whom they have great affinities.",,Alain de Conninck,,8,3500 cases,Saint Michel de Fronsac,Bordeaux,Fronsac,France
Vergnes,1898,"This charming property is only 15 minutes away from the famous City of Carcassonne, at the end of a road that winds its way across the countryside through vineyards, olive trees and heath. You will be welcomed in our wine-tasting cellar which is listed as a ""landmark of good taste"" (site remarquable du gout) and classified as a special stopover in Cathar country (étape terroir du pays cathare). ","Domaine Vergnes has been a family-run Estate for three generations and is located in Saint-Hilaire, where the Blanquette de Limoux wines were born. Jean-Claude Mas acquired the Estate in 2011, fascinated by the place, the quality of the wines and eventually, to make his dream come true and have his own sparkling wines! ",Jean Claude Mas,Winemaker : Bastien Lalauze,80,"430,000 bottles/year",Saint Hilaire,Languedoc-Roussillon,Limoux,France
Marc Plouzeau,1989,"The property, Chateau de la Bonnelière, belong to the Plouzeau Familly since 1846. My father, Pierre, bought it to his uncle and renew the property, replant thewines and built up a new winery.","Plouzeau company  start in  with my gran father. He was a wine merchant without vinards
Plouzeau company start with my grandfather. He was a wine merchant without vineyards.
My father took over the family company in 1949.
He bought 2 domain, The domain de la Garreliere in 1973 and Chateau de la Bonnelière in 1979
I took over the Chateau de la Bonnelière with 12ha in 1999 and I start a organic farming",Marc Plouzeau,,32,"16,000 bottles",La Roche Clermault - Close to Chinon in the Loire Valley,Loire,Chinon - Touraine,France
Xavier Frissant,,"Notre vignoble se développe sur 5 lieux-dits différents, se déclinant sur 2
terroirs :
-Les sols argilo-siliceux sont riches en silex. On peut retrouver ses sols sur les
parcelles des Frênes, des Pierres et de la Touche.

-Les sols limoneux-sableux que l'on retrouve sur nos parcelles des Hauts-
Noyers et du Clos du Verger.

Chaque cépage est en adéquation avec son terroir pour leur permettre la
meilleure expression et complexité. Nos terroirs sont répartis sur les
appellations suivantes :
- L'AOC Touraine Amboise, est issue du cépage Chenin pour les blancs,
procurant des vins surfant sur la délicatesse et la richesse. Et le cépage Côt
noir pour les rouges se déterminant de garde et d’une finesse structurale.
- L'AOC, TOURAINE est constituée du cépage Sauvignon blanc exprimant la
minéralité de notre terroir. Depuis quelques années nous cultivons un vieux
cépage, le « Fié Gris », issu d’une vieille souche de sauvignon. Il se démarque
par son côté riche, délicat, onctueux et floral.
Nous travaillons en viticulture raisonnée et de façon responsable,
l’intervention dans le vignoble se fait uniquement en fonction des aléas
climatiques et des risques. Cela permet d'éviter les traitements abusifs et
respecte l’écosystème ainsi que la vie des Hommes.
À la cave nous adaptons les vinifications en fonction du terroir et des cépages
pour leur permettre d'avoir leur élégance et leur structure.Buttage des jeunes vignes à l’automne pour lutter
contre le gel d’hiver et celui de printemps. Nous travaillons mécaniquement
sous le rang avec des interceps, de façon à favoriser la biodiversité de nos
parcelles.
Nos vignes sont enherbées entre les rangs pour limiter l’érosion des sols.
L’enherbement exerce une concurrence sur la vigne, permet de contrôler sa
vigueur et son rendement. Les tontes sont faites régulièrement au court de
la saison. Au fur et à mesure de la pousse de la vigne, les travaux en vert
s’enchaînent. L’effeuillage - L’ébourgeonnage - L’épamprage - Le
dédoublement des bourgeons - Vendanges en vert.
Tous ces travaux sont effectués à partir du printemps et permettent de mener à bien
la réussite de la récolte.",La famille FRISSANT est viticulteur de père en fils depuis 8 générations.,Isabelle & Xavier Frissant,,27,,côtes de la Commune de Mosnes.,Loire,Touraine Amboise,France
Domaine Rouge-Bleu,2007 founded - 2012 New ownership,"Created in 2007 and situated between the revered appellations of Gigondas and Châteauneuf-du-Pape, Domaine Rouge-Bleu cultivates its 9ha of land inspired by the core of biodynamic principles (Certification process started in 2017). Our vineyard spreads around our farm which was probably built 400 years ago and which some parts are handcrafted 1696. Mostly composed of old vines, our wines are vinified in the pure tradition","CAROLINE: Originally from Western Australia, winemaker Caroline Jones has worked in various regions of Australia and France, with roles ranging from harvesting and pruning vines to cellar hand, laboratory manager and vintage winemaker.

“My approach to winemaking is to harmonise the modern methods taught in Australia with the traditions and styles of France. This has ultimately led to the decision to be based in the southern Rhone region, where the unique terroir and local grape varieties can create wines of rich primary fruit flavours and depth, which, when augmented by maturation in aged oak barrels, produces wines of elegance, balance and complexity.”

THOMAS:From the Vosges mountains in the east of France, Thomas spent 12 years in the UK working exclusively in the wine trade. After working for one of the major wine estates in Chateauneuf-du-Pape as head of Domestic Sales and Oenotourism, he was able, since 2015, to devote himself fully to Domaine Rouge-Bleu .
Having sold and tasted many wines from around the world, Thomas decided it was time to have a go at making the stuff! A real wish to return to the rural lifestyle of his childhood, and Caroline’s shared interest in French living, were the catalysts for moving back to France and starting the search for their dream vineyard.

“Passionate about wine, I have been surrounded by it all of my adult life. First at work and now on the domaine where I spend my time between managing the vineyard and representing the Domaine worldwide. A lover of wines from all horizons I am, like Caroline, a natural Grenache lover. Becoming a vigneron is a life changing experience and an eveyday learning curve which I hope to be sharing with you all soon, whether you are visiting us or we are coming to you!”",Caroline JONES & Thomas BERTRAND,"Mathilde & Juliette (children), Mirabelle (Winery cat!)",8.5,2500 cases,Sainte Cécile les Vignes,Rhône,Southern Rhône,France
Perrachon,1877,"Julienas history already mentionned the PERRACHON name in 1601. The Perrachon family acquired the domain of la Bottière, in Juliénas, in 1877. Then came the Domaine des Perelles on the Romanèche-Thorins territory, at the feet of the Moulin-à-Vent hills. The Domaine des Mouilles, now the heart of our operations, was acquired in 1989. It is the heart of the Julienas appellation, benefiting from the best exposure and the best soils. Recently, we added smaller parcels in Chénas, Fleurie, and Saint Amour.","Today we harvest grapes on six Crus (30 hectares) : Julienas of course, but also Morgon, Moulin-à-Vent, Fleurie, Chenas and our latest addition, Saint-Amour, and also Beaujolais-Village rouge and Beaujolais Blanc (6.5 hectares). Today, the 7th generation of winemakers carries on its ancestor’s tradition with the same aim: to express the essence of the terroir",Famille Perrachon,Adrien Perrachon - vineyard manager / Laurent and Maxime Perrachon - winemakers,30,"15,000 cases",Juliénas,Burgundy,Beaujolais,France
Chateau Landereau,1959,"Henri Baylet, a winemaker in North Africa, bought Landereau in 1959 and gave it to his son Michel. Progressively, Landereau grew to  45 hectares of vines. En 1981, Michel bought the neighboring winery  Château Hoste-Blanc which today comprises 35 hectares of vines. En 1988 his son  Bruno took over the two properties and began the production of dry white wines. ",,Bruno Baylet ,,80,"40,000 Cases",Sadirac,Bordeaux,Entre Deux Mers,France
Tetramythos,2004,"Located in the village of Ano Diacopto, in Aigialeia slopes, an equipped winery, with state of the art machinery, in a beautiful building, which fits perfectly with the surrounding mountainous area. The vineyards are planted mostly with indigenous Greek along with some international grape varieties, following absolutely organic cultivation.","The Spanos brothers Aristos and Stathis, originated from Ano Diacopto were involved in grape growing and wine production early in their lives. In 1999 they meet Panayiotis Papagiannopoulos, a local also, talented and highly inspired winemaker, who joined the team. In the years that follow together they produce the first bottles of Tetramythos, new vineyards are planted and in 2003 starts the construction of a tasteful winery which is completed in 2004.
Their philosophy is the combination of scientific knowledge and traditional methods in order to produce high quality wines, in the most natural possible way, with low intervention and additives, typical of the special regional terroir.","Aristides Spanos, Stathis Spanos, Panayiotis Papagiannopoulos",,35,"200,000 bottles",Ano Diacopto,Peloponnese,Achaia,Greece
VAENI,1983,"The Co-operative was inaugurated in 1983 but the winery was actually built in 1984 and the first commercial vintage took place during that year. Increased production was one of the reasons that have led to the establishment of the Co-operative, which could act as a counterbalance for private companies. In 1984, the most radically designed winery in the Balkans was built at record speed, following brave endeavour from its members and support from the government. The Co-operative originally counted 330 members that grew 65% of the Naoussa viticultural zone.

The aim was to ensure better income for farmers whose single variety was Xinomavro. New, up-to-date wine making technology combined with age-old tradition have created the V.Q.P.R.D. wines: Naoussa, Naoussa Reserve, Naoussa Grande Reserve

Meanwhile, research was in progress for production of new wines made from Xinomavro. This is how the Rose wine was created, which won distinction within the following year and was awarded first prize in the 9th European Salon of Wine.

After trial-and-error research on vinification methods, we spotted that Xinomavro was ideally suited to making white wines bearing excellent characteristics and in 1992 Imeros White was launched in the market.

In 1994, having one of the best vintages on record, we produced Damaskinos V.Q.P.R.D. wine, aged in new French oak barrels with high toasting. This particular wine gains most favourable comments, wins distinction in Germany at the PROWEIN FAIR in 2000 and receives the silver medal at the International Wine Fair of Thessaloniki in 2004.

Then the time comes for Dogmatikos White, sourced from Xinomavro, fermented at very low temperature (8-10oC) with the use of special wine yeast starter cultures. A wine full of character and class.

Meanwhile, new cultivars are planted by our vine growers, such as Roditis, Syrah and Merlot. As a result, the Co-op enriches its range of wines produced. In 2001 and 2003 the company releases Syrah 2000 Regional Wine of Macedonia and Imeros Red Regional Wine of Macedonia respectively. Imeros Red is sourced from 50% Xinomavro and 50% Syrah and has taken up a significant share of the market.

Experimental programmes definitely do not stop here and, taking into consideration the market trends, we make efforts to produce wines that will satisfy customers' tastes.","Every 4 years in the past and every 5 now, elections are held and the new board of members is elected. Then, they vote among them to elect the new president and so on. Mr Fountoulis Georgios has been  elected as the President of VAENI NAOUSSA for the last 4 consecutive elections.",FOUNTOULIS GEORGIOS ( PRESIDENT OF THE BOARD ),"165 cooperative winemakers, Anastou Thomas ( winemaker )",200,"2,000,000 Bottles",Naoussa,Naoussa,"Marina, Trilofos, Fitia, Naoussa and other small subregions of the city of Naoussa",Greece
Diamantakos,1998,"In 1968, ruins were found on Diamantakos’s land, which later proved to be Aristotle’s school, where Great Alexander was taught. The government compensated the family for the land and they bought what now is the Diamantakos 'Ktima' vineyards and winery. The vineyards consist of two indigenous Greek grape varietals, Xinomavro and Preknadi.","George Diamantakos is third generation winemaker. His grandfather and father planted the grapes in the 80s, to then begin making their own wine by the 90s. George grew up working the vineyards with them and went off to study oenology, where his passion for winemaking began. He took over when he returned in 2005, and continues his artistry, cultivating, learning and perfecting with each harvest.",Diamantakou Aikaterini,Diamantakos George (oenologist),4,"20,000",Naoussa,Imathia,Mandemi,Greece
